Activity_ID,Application_ID,Product_Type,Channel,Stage,Activity_Type,Activity_Timestamp,Performed_By,Status_After_Activity,Activity_Notes,Dedupe_Flag,Dedupe_Match_Type,Existing_Record_Flag,Risk_Grade,Fraud_Flag,Exception_Flag,Bureau_Score,Employment_Verified,Income_Verified,Address_Verified,KYC_Status,UW_Decision,Escalation_Required,Underwriting_Notes,Documents_Collected_Flag,Missing_Documents_Count,PDOC_Status,PDOC_Clearance_Date,PDOC_Notes,Final_Approved_Limit,Disbursement_Date,Activation_Status,Welcome_Kit_Sent,DI_Notes,Stage_Start_Timestamp,Stage_End_Timestamp,Stage_Duration_Minutes,Total_Processing_Days,SLA_Met,Last_Modified_By,Last_Modified_Timestamp,Escalation_Notes,QA_Check_Flag
1,APP001,Credit Card,TeleSales,Sourcing,Submitted,2025-09-09 10:46,Third Party,On Hold,Submitted done for Sourcing,Yes,Partial,NA,High,Yes,Yes,800,NA,No,No,Pending,Decline,No,Notes for Sourcing,No,2,On Hold,2025-09-09 11:46,PDOC note for APP001,4377,2025-09-09 12:46,Active,No,DI note for APP001,2025-09-09 07:00,2025-09-09 10:46,226,6,Yes,System,2025-09-09 10:46,Escalation note for APP001,Yes
2,APP001,Credit Card,TeleSales,Sourcing,Reviewed,2025-09-09 13:10,Auto,On Hold,Reviewed done for Sourcing,Yes,Exact,No,Medium,NA,Yes,880,Yes,Yes,Yes,Rejected,Hold,Yes,Notes for Sourcing,NA,1,Approved,2025-09-09 14:10,PDOC note for APP001,6011,2025-09-09 15:10,Active,Yes,DI note for APP001,2025-09-09 11:20,2025-09-09 13:10,110,7,Yes,Team A,2025-09-09 13:10,Escalation note for APP001,Yes
3,APP001,Credit Card,TeleSales,Dedupe,Checked,2025-09-09 16:33,Team A,Pending,Checked done for Dedupe,No,None,Yes,High,NA,NA,877,Yes,No,NA,Cleared,Hold,NA,Notes for Dedupe,NA,3,Complete,2025-09-09 17:33,PDOC note for APP001,8320,2025-09-09 18:33,Active,Yes,DI note for APP001,2025-09-09 14:06,2025-09-09 16:33,147,2,Yes,Team A,2025-09-09 16:33,Escalation note for APP001,Yes
4,APP001,Credit Card,TeleSales,Dedupe,Flagged,2025-09-09 20:00,Auto,On Hold,Flagged done for Dedupe,No,None,NA,Medium,No,NA,602,Yes,Yes,NA,Rejected,Hold,No,Notes for Dedupe,No,0,Escalated,2025-09-09 21:00,PDOC note for APP001,8213,2025-09-09 22:00,Inactive,Yes,DI note for APP001,2025-09-09 16:58,2025-09-09 20:00,182,9,No,System,2025-09-09 20:00,Escalation note for APP001,No
5,APP001,Credit Card,TeleSales,Underwriting,Verified Documents,2025-09-09 21:08,Team A,Pending,Verified Documents done for Underwriting,NA,None,No,High,NA,No,491,NA,Yes,Yes,Cleared,Approve,Yes,Notes for Underwriting,No,3,Rejected,2025-09-09 22:08,PDOC note for APP001,4387,2025-09-09 23:08,Active,NA,DI note for APP001,2025-09-09 20:32,2025-09-09 21:08,36,1,Yes,Team B,2025-09-09 21:08,Escalation note for APP001,Yes
6,APP001,Credit Card,TeleSales,Underwriting,Decision,2025-09-09 21:47,Team A,Pending,Decision done for Underwriting,No,None,No,Medium,Yes,No,324,NA,Yes,NA,Cleared,Decline,No,Notes for Underwriting,NA,1,Rejected,2025-09-09 22:47,PDOC note for APP001,3354,2025-09-09 23:47,Inactive,No,DI note for APP001,2025-09-09 21:13,2025-09-09 21:47,34,8,Yes,Team A,2025-09-09 21:47,Escalation note for APP001,Yes
7,APP001,Credit Card,TeleSales,Underwriting,Escalated,2025-09-10 02:25,Team B,Pending,Escalated done for Underwriting,No,None,No,High,NA,Yes,501,No,Yes,NA,Pending,Hold,No,Notes for Underwriting,No,2,On Hold,2025-09-10 03:25,PDOC note for APP001,9039,2025-09-10 04:25,Active,Yes,DI note for APP001,2025-09-09 22:27,2025-09-10 02:25,238,3,No,Team B,2025-09-10 02:25,Escalation note for APP001,No
8,APP001,Credit Card,TeleSales,PDOC,Documents Collected,2025-09-10 03:52,Third Party,Complete,Documents Collected done for PDOC,Yes,Exact,Yes,High,Yes,NA,506,NA,No,Yes,Rejected,Hold,No,Notes for PDOC,NA,0,Approved,2025-09-10 04:52,PDOC note for APP001,1185,2025-09-10 05:52,Active,No,DI note for APP001,2025-09-10 03:23,2025-09-10 03:52,29,5,No,System,2025-09-10 03:52,Escalation note for APP001,Yes
9,APP001,Credit Card,TeleSales,PDOC,PDOC Reviewed,2025-09-10 05:04,Auto,Rejected,PDOC Reviewed done for PDOC,No,Exact,NA,High,Yes,NA,735,Yes,Yes,Yes,Rejected,Decline,Yes,Notes for PDOC,Yes,0,Complete,2025-09-10 06:04,PDOC note for APP001,7093,2025-09-10 07:04,Inactive,Yes,DI note for APP001,2025-09-10 04:49,2025-09-10 05:04,15,5,Yes,Team A,2025-09-10 05:04,Escalation note for APP001,No
10,APP001,Credit Card,TeleSales,DI,Disbursed,2025-09-10 08:30,Team A,Rejected,Disbursed done for DI,NA,Partial,No,Medium,NA,Yes,529,NA,No,No,Rejected,Approve,NA,Notes for DI,Yes,0,Escalated,2025-09-10 09:30,PDOC note for APP001,8655,2025-09-10 10:30,Active,Yes,DI note for APP001,2025-09-10 05:14,2025-09-10 08:30,196,2,No,Team B,2025-09-10 08:30,Escalation note for APP001,No
11,APP001,Credit Card,TeleSales,DI,Activated,2025-09-10 10:00,Team B,Complete,Activated done for DI,Yes,Exact,No,Medium,NA,No,328,NA,Yes,Yes,Cleared,Hold,NA,Notes for DI,Yes,3,Approved,2025-09-10 11:00,PDOC note for APP001,7892,2025-09-10 12:00,Active,Yes,DI note for APP001,2025-09-10 08:58,2025-09-10 10:00,62,2,No,Team B,2025-09-10 10:00,Escalation note for APP001,Yes
12,APP001,Credit Card,TeleSales,DI,Welcome Kit Sent,2025-09-10 11:23,Team B,Complete,Welcome Kit Sent done for DI,Yes,Partial,NA,Medium,Yes,No,376,NA,No,No,Cleared,Decline,Yes,Notes for DI,No,0,Complete,2025-09-10 12:23,PDOC note for APP001,8158,2025-09-10 13:23,Active,NA,DI note for APP001,2025-09-10 10:35,2025-09-10 11:23,48,3,Yes,Team B,2025-09-10 11:23,Escalation note for APP001,Yes
13,APP002,Loan,Branch,Sourcing,Submitted,2025-09-05 04:19,Third Party,Rejected,Submitted done for Sourcing,Yes,Exact,No,Low,No,Yes,837,NA,Yes,No,Cleared,Hold,Yes,Notes for Sourcing,Yes,1,Approved,2025-09-05 05:19,PDOC note for APP002,9212,2025-09-05 06:19,Inactive,NA,DI note for APP002,2025-09-05 03:00,2025-09-05 04:19,79,6,Yes,Team B,2025-09-05 04:19,Escalation note for APP002,Yes
14,APP002,Loan,Branch,Sourcing,Reviewed,2025-09-05 07:12,Team A,Approved,Reviewed done for Sourcing,NA,Exact,Yes,High,NA,Yes,592,No,No,NA,Rejected,Decline,No,Notes for Sourcing,Yes,0,Pending,2025-09-05 08:12,PDOC note for APP002,7758,2025-09-05 09:12,Active,Yes,DI note for APP002,2025-09-05 04:54,2025-09-05 07:12,138,6,Yes,Team B,2025-09-05 07:12,Escalation note for APP002,No
15,APP002,Loan,Branch,Dedupe,Checked,2025-09-05 11:49,Third Party,Pending,Checked done for Dedupe,Yes,Partial,No,Low,No,NA,840,Yes,Yes,NA,Rejected,Approve,NA,Notes for Dedupe,Yes,0,Complete,2025-09-05 12:49,PDOC note for APP002,8279,2025-09-05 13:49,Active,No,DI note for APP002,2025-09-05 07:52,2025-09-05 11:49,237,9,No,Team B,2025-09-05 11:49,Escalation note for APP002,No
16,APP002,Loan,Branch,Dedupe,Flagged,2025-09-05 14:32,Auto,On Hold,Flagged done for Dedupe,Yes,None,NA,Medium,NA,Yes,527,No,No,Yes,Rejected,Hold,No,Notes for Dedupe,No,1,Complete,2025-09-05 15:32,PDOC note for APP002,4476,2025-09-05 16:32,Inactive,No,DI note for APP002,2025-09-05 12:37,2025-09-05 14:32,115,10,No,Team B,2025-09-05 14:32,Escalation note for APP002,No
